# CarNum, EntranceNum, goalNum,ExitNum, EnteringTime, StayingTime, Preference
0,0,0,0,2,40,closest_to_goal
1,0,6,0,3,32,closest_to_goal
2,1,2,0,4,25,closest_to_goal
3,0,0,1,7,51,closest_to_goal
4,1,3,1,8,43,closest_to_goal
5,0,4,0,10,10,closest_to_goal
6,0,1,0,11,23,closest_to_goal
7,0,0,1,14,37,closest_to_goal
8,0,0,0,15,21,closest_to_goal
9,0,5,0,16,40,closest_to_goal
10,0,1,0,17,32,closest_to_goal
11,1,2,0,18,25,closest_to_goal
12,0,0,1,19,51,closest_to_goal
13,0,0,0,20,43,closest_to_goal
14,0,6,0,21,10,closest_to_goal
15,1,2,0,22,23,closest_to_goal
16,0,0,1,23,37,closest_to_goal
17,1,3,1,24,21,closest_to_goal
18,0,4,0,25,40,closest_to_goal
19,0,1,0,26,32,closest_to_goal
20,0,0,1,27,25,closest_to_goal
21,0,0,0,28,51,closest_to_goal
22,0,5,1,29,43,closest_to_goal
23,0,0,0,30,10,closest_to_goal
24,0,0,0,31,23,closest_to_goal
25,0,5,0,32,37,closest_to_goal
26,1,2,0,33,21,closest_to_goal
27,0,0,1,34,40,closest_to_goal
28,1,3,1,35,32,closest_to_goal
29,0,4,0,36,25,closest_to_goal
30,0,1,0,37,51,closest_to_goal
31,0,6,0,38,43,closest_to_goal
32,0,1,0,39,10,closest_to_goal
33,1,2,0,40,23,closest_to_goal
34,0,0,1,41,37,closest_to_goal
35,0,0,0,42,21,closest_to_goal
36,0,1,0,43,40,closest_to_goal
37,1,2,0,44,32,closest_to_goal
38,0,0,1,45,25,closest_to_goal
39,1,3,1,46,51,closest_to_goal
40,0,4,0,47,43,closest_to_goal
41,0,0,0,48,10,closest_to_goal
42,0,5,0,49,23,closest_to_goal
43,1,2,0,50,37,closest_to_goal
44,0,0,1,51,21,closest_to_goal
45,0,0,0,52,40,closest_to_goal
46,0,1,0,53,32,closest_to_goal
47,1,6,0,54,25,closest_to_goal
48,0,0,1,55,51,closest_to_goal
49,1,3,1,56,43,closest_to_goal
50,0,4,0,57,10,closest_to_goal
